document,year,doc_type,page_number,category,pattern_matched,extracted_text,context,word_count
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,Target/Goal,supply chain,supply chain,ing firms to conduct audits. Included is the FLA who  randomly selects and audits a sampling of our supply chain in a given year and publishes the  results online. We hire third parties to audit less than a quart,569
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,Target/Goal,supply chain,supply chain,"ibility. We have also developed and applied our Migrant Worker Employment Standards throughout the  supply chain.  In Taiwan where we have identified pervasive migrant worker employment in our  fabric mills, we h",565
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,Target/Goal,supply chain,supply chain,"orced labor, including slavery and human trafficking. If this grave  concern was to be found in our supply chain, the factory would be subject to our factory disci- plinary policy.  Disciplinary actions include i",565
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,9,Target/Goal,supply chain,supply chain,"ny, [the company]… [p]rovides  company employees and management, who have direct responsibility for supply chain management,  training on human trafficking and slavery, particularly with respect to mitigating ris",565
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Target/Goal,commitment,commitment,"d staff, materials, sourcing and product devel- opment teams, and executive leaders who enforce our commitment throughout the company on  these issues. This disclosure confirms our efforts to eradicate slavery ",441
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Target/Goal,reach,reach,"for both internal and  external stakeholders. External Training   Our training efforts also include reaching external parties such as suppliers, other companies, gov- ernment, media and the general public.",441
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Target/Goal,supply chain,supply chain,"s.  Through the media and on our website, we have made public  the challenges we face in our Taiwan supply chain and the strategy we employ to make improve- ments. This has helped to raise awareness of the issues",441
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,10,Target/Goal,supply chain,supply chain,"his disclosure confirms our efforts to eradicate slavery and human trafficking practices within our supply chain  and it shall be reviewed annually and updated accordingly. Hilary Dessouky  General Counsel, Patag",441
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,11,Target/Goal,supply chain,Supply Chain,"11 C.	 Related Resources Information on the CA Transparency in Supply Chains Act, UK Modern Slavery Act and  Australia Modern Slavery Act •	 California Transparency in Supply ",135
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,11,Target/Goal,supply chain,Supply Chain,"y Chains Act, UK Modern Slavery Act and  Australia Modern Slavery Act •	 California Transparency in Supply Chains Act – Office of Attorney General  oag.ca.gov/SB657 •	 The California Transparency in Supply Chains",135
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,11,Target/Goal,supply chain,Supply Chain, Supply Chains Act – Office of Attorney General  oag.ca.gov/SB657 •	 The California Transparency in Supply Chains Act – A Resource Guide  oag.ca.gov/sites/all/files/agweb/pdfs/sb657/resource-guide.pdf? •	 UK Slav,135
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,11,Target/Goal,supply chain,supply chain,.ca.gov/sites/all/files/agweb/pdfs/sb657/resource-guide.pdf? •	 UK Slavery and human trafficking in supply chains: guidance for businesses  www.gov.uk/government/publications/transparency-in-supply-chains-a-pract,135
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,2,Target/Goal,commitment,commitment,"p model more  imaginable and ultimately possible. And now, our new structure locks in our perpetual commitment  to our purpose. People at Patagonia are often asked, ""What companies do you look up to?"" We're hap",562
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,2,Target/Goal,reduce,reduce,cals used in materials and processes. We had co- convened the Sustainable Apparel Coalition to help reduce the environmental impact of the  industry as a whole. The BIA turned out to make a big difference. ,562
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,3,Target/Goal,commitment,commitment,"y able to in the state of  California. In doing so, Patagonia adopted six specific  benefit purpose commitments (which you’ll find listed  and described within) that govern our operations at  the most fundament",185
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,7,Target/Goal,recycled,recycled,ng and fabricating products  that are easily repaired and made from materials that can be reused or recycled;  3) designing and fabricating products with minimal impacts throughout the supply  chain—including,115
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,8,Target/Goal,reduce,reduce,"m We will conduct our operations in a manner causing no unnecessary harm by  continually seeking to reduce the environmental footprint and impact of our  operations in water use, water quality, energy use, ",47
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,9,Target/Goal,commitment,commitment,"9 Sharing Best Practices  with Other Companies In support of our commitment to “use business to inspire and implement solutions to the  environmental crisis,” we will share pr",56
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Target/Goal,achieve,achieve,12 Bringing the Numbers to Life The global score of 166 points achieved by Patagonia during its 2023 B Corp recertification is due to  the many actions implemented by Pat,242
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$2.1m,"sm and support non-profits 12,589 22,074 Hours of skill-based volunteering donated (valued  at over $2.1M in FY23 and $2.2M in FY24) through  Patagonia Action Works 11,229 11,794 Community events held at P",242
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,12,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$2.2m,"-profits 12,589 22,074 Hours of skill-based volunteering donated (valued  at over $2.1M in FY23 and $2.2M in FY24) through  Patagonia Action Works 11,229 11,794 Community events held at Patagonia  North Am",242
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,13,Target/Goal,renewable energy,renewable energy,"ne of America’s most trusted brands 3 4 Continents where Patagonia has invested in on-  or off-site renewable energy projects (North  America, Japan, Australia, Chile, Europe - Italy) 5 5 Tons of mussels sold (which ",215
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,14,Target/Goal,recycled,Recycled,"Apparel Material Sources (Fabric & Trim)  FY22 FY23 FY24 Virgin petroleum-based product 15% 14% 16% Recycled materials 72% 73% 73% Virgin cotton and other plant-based materials 12% 12% 9% Virgin wool, down, a",232
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,14,Target/Goal,fair trade,Fair Trade,"14 FY23 FY24 Percentage of our products that are made  in a Fair Trade Certified factory 87% 88% Dollars Patagonia has paid in Fair Trade  premiums to date since 2014, wh",232
PAT_2024_BCorp_Report-V2-100125.pdf,2024,BCorp Report,14,Target/Goal,fair trade,Fair Trade,"our products that are made  in a Fair Trade Certified factory 87% 88% Dollars Patagonia has paid in Fair Trade  premiums to date since 2014, which goes  directly to the factory workers $26,184,897 $32,262,384 P",232
